Label1,,Label2,,Label3,,Label4,,,,Combined(2+3+4),,Label1,,FINAL,
Outcome,Score,Outcome,Score,Outcome,Score,Outcome,Score,,,Outcome,Score,Outcome,Score,Final Outcome,Final Score
Not a bully,0.1,Possible Victim,0.6125,Not a victim,0.842857143,Not a victim,0.8,,,Not a victim,0.751785714,Not a bully,0.1,Not a bully,
Not a bully,0.16,Not a victim,0.9875,Not a victim,0.957142857,Not a victim,0.766666667,,,Not a victim,0.903769841,Not a bully,0.16,Not a bully,
Possible Bully,0.46,Not a victim,1,Not a victim,0.814285714,Not a victim,0.766666667,,,Not a victim,0.86031746,Possible Bully,0.46,Not a bully,
Not a bully,0.12,Possible Victim,0.675,Not a victim,0.757142857,Possible Victim,0.466666667,,,Possible Victim,0.632936508,Not a bully,0.12,Not a bully,
Not a bully,0.2,Not a victim,0.9,Possible Victim,0.514285714,Possible Victim,0.566666667,,,Possible Victim,0.66031746,Not a bully,0.2,Not a bully,
Possible Bully,0.46,Possible Victim,0.4125,Possible Victim,0.5,Possible Victim,0.433333333,,,Possible Victim,0.448611111,Possible Bully,0.46,Possible Bully,
Not a bully,0.1,Possible Victim,0.4125,Possible Victim,0.371428571,Possible Victim,0.566666667,,,Possible Victim,0.450198413,Not a bully,0.1,Not a bully,
Not a bully,0.1,Not a victim,0.8,Not a victim,0.9,Not a victim,0.966666667,,,Not a victim,0.888888889,Not a bully,0.1,Not a bully,
Not a bully,0.1,Possible Victim,0.6875,Not a victim,0.757142857,Not a victim,0.833333333,,,Not a victim,0.759325397,Not a bully,0.1,Not a bully,
Not a bully,0.22,Possible Victim,0.55,Not a victim,0.828571429,Not a victim,0.7,,,Possible Victim,0.692857143,Not a bully,0.22,Not a bully,
Not a bully,0.1,Possible Victim,0.5,Possible Victim,0.5,Not a victim,0.933333333,,,Possible Victim,0.644444444,Not a bully,0.1,Not a bully,
Not a bully,0.16,Not a victim,0.8125,Not a victim,0.814285714,Not a victim,1,,,Not a victim,0.875595238,Not a bully,0.16,Not a bully,
Not a bully,0.14,Not a victim,0.8,Not a victim,0.942857143,Not a victim,1,,,Not a victim,0.914285714,Not a bully,0.14,Not a bully,
Not a bully,0.34,Possible Victim,0.55,Possible Victim,0.414285714,Not a victim,0.9,,,Possible Victim,0.621428571,Not a bully,0.34,Not a bully,
Possible Bully,0.86,Not a victim,1,Not a victim,1,Possible Victim,0.666666667,,,Not a victim,0.888888889,Possible Bully,0.86,Not a bully,
Not a bully,0.14,Not a victim,0.8375,Not a victim,0.857142857,Not a victim,0.866666667,,,Not a victim,0.853769841,Not a bully,0.14,Not a bully,
Possible Bully,0.96,Possible Victim,0.5375,Not a victim,0.771428571,Not a victim,0.9,,,Possible Victim,0.736309524,Possible Bully,0.96,Possible Bully,
Not a bully,0.2,Not a victim,0.975,Not a victim,0.914285714,Not a victim,1,,,Not a victim,0.963095238,Not a bully,0.2,Not a bully,
